DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
10-Jun-25,EQ,321.2,324.7,319.4,320.4,320.2,320.1,321.5,635,234.01,6489933,"2,08,65,14,645.25",48772
09-Jun-25,EQ,317.8,321.45,315,316.7,320.3,320.4,319.38,635,234.01,3787426,"1,20,96,41,713.45",34179
06-Jun-25,EQ,309,317.85,309,309.8,316.1,316.7,315.29,687,234.01,5825337,"1,83,66,44,432.75",54596
05-Jun-25,EQ,311.1,315.4,308.25,311.55,310,309.8,311.65,687,234.01,5900170,"1,83,87,99,946.15",41708
04-Jun-25,EQ,309.75,312.65,308.6,309.75,311.5,311.55,311.07,687,234.01,5925942,"1,84,33,55,590.80",56254
03-Jun-25,EQ,315.05,320.95,309,316.6,309.05,309.75,312.61,687,234.01,7853488,"2,45,50,90,824.75",63449
02-Jun-25,EQ,318.4,319.5,315.65,318.4,316.6,316.6,317.37,687,234.01,3086437,"97,95,51,183.00",49140
30-May-25,EQ,317.55,322.4,317,319.15,317.5,318.4,319.34,687,234.01,9148638,"2,92,15,55,162.60",49072
29-May-25,EQ,321.2,322.55,317.6,321.7,319.5,319.15,319.3,687,234.01,4000772,"1,27,74,42,287.60",42247
28-May-25,EQ,317,322.6,313.75,317,321.2,321.7,319.16,687,234.01,7112876,"2,27,01,36,014.05",47760
27-May-25,EQ,322.9,322.9,315.5,322.95,317,317,318.48,687,234.01,4716473,"1,50,21,10,060.35",52575
26-May-25,EQ,319,323.95,319,318.9,322.8,322.95,322.32,687,234.01,5050848,"1,62,80,10,597.25",42433
23-May-25,EQ,312,320,312,313.05,318.75,318.9,318.15,687,234.01,4257721,"1,35,45,96,411.45",39433
22-May-25,EQ,314.9,318.9,308.7,315.85,313,313.05,314.32,687,234.01,4876801,"1,53,28,69,167.95",46099
21-May-25,EQ,312.3,316.75,309.35,312.9,316.7,315.85,313.51,687,234.01,5232094,"1,64,03,18,549.30",56580
20-May-25,EQ,317,319.65,311.75,317.2,312.3,312.9,315.28,687,234.01,5016433,"1,58,15,92,762.45",41523
19-May-25,EQ,318.55,319.55,316.15,320.1,317.1,317.2,317.9,687,234.01,2956007,"93,97,16,545.15",43605
16-May-25,EQ,316,321,315.8,317,319.5,320.1,319.36,687,234.01,6861786,"2,19,13,58,095.70",54246
15-May-25,EQ,314,320.2,313.5,312.5,316.85,317,316.42,687,234.01,7055032,"2,23,23,41,546.25",61804
14-May-25,EQ,308.7,313.55,308.4,306.9,313,312.5,311.01,687,234.01,7733320,"2,40,51,74,606.70",89162
13-May-25,EQ,309.05,310.6,304.5,309.05,306.75,306.9,306.99,687,234.01,7241358,"2,22,30,54,949.20",70931
12-May-25,EQ,315,315.95,307.15,306.85,308.5,309.05,310.62,687,234.01,6844271,"2,12,59,89,924.85",107036
09-May-25,EQ,302.55,307.35,301.35,307.95,307.05,306.85,304.74,687,234.01,4955934,"1,51,02,70,053.60",48262
08-May-25,EQ,315.5,320.2,305.7,316.9,306.6,307.95,312.13,687,234.01,5918739,"1,84,74,10,547.45",56757
07-May-25,EQ,307,317.5,307,311.45,316.8,316.9,314.03,687,234.01,7970668,"2,50,30,19,823.70",79539
06-May-25,EQ,321.1,322.2,310.55,321.05,311.5,311.45,314.4,687,234.01,5444873,"1,71,18,57,769.60",57828
05-May-25,EQ,317,325.85,316,311.15,321.45,321.05,322.72,687,234.01,16037327,"5,17,56,18,727.05",145929
02-May-25,EQ,310.55,317.5,309.9,310.05,311.45,311.15,313.94,687,234.01,7751559,"2,43,35,53,374.10",77731
30-Apr-25,EQ,319,322.45,309,311.7,309.85,310.05,315.98,687,234.01,21424437,"6,76,96,44,907.05",130825
29-Apr-25,EQ,311.55,315.6,309.8,310,311,311.7,312.51,687,234.01,9522966,"2,97,60,01,462.70",79887
28-Apr-25,EQ,293.1,310.95,293.1,295.7,310.4,310,306.66,687,234.01,14414879,"4,42,04,30,169.30",84280
25-Apr-25,EQ,302.35,304.95,293.3,302,295.25,295.7,296.6,687,234.01,7773037,"2,30,55,01,308.05",53471
24-Apr-25,EQ,302.95,305.5,300.3,300.45,302.4,302,302.74,687,234.01,5773985,"1,74,80,07,367.65",45018
23-Apr-25,EQ,306.1,306.65,298.3,306.1,300.2,300.45,300.92,687,234.01,7400827,"2,22,70,64,479.65",65442
22-Apr-25,EQ,305,308.5,302.65,304.05,306.25,306.1,305.53,687,234.01,7096150,"2,16,80,62,875.60",43073
21-Apr-25,EQ,299.85,305.55,298,298.35,303.8,304.05,303.41,687,234.01,6455955,"1,95,88,12,628.60",48175
17-Apr-25,EQ,298,301.75,295.45,298.75,298,298.35,298.48,687,234.01,7510897,"2,24,18,81,577.25",49488
16-Apr-25,EQ,294,300.55,292.55,294.4,298.15,298.75,297.73,687,234.01,9064723,"2,69,88,24,774.20",62548
15-Apr-25,EQ,296.8,296.8,291.1,293.2,294.35,294.4,293.17,687,234.01,8516322,"2,49,67,27,453.55",59151
11-Apr-25,EQ,296.45,296.45,286.5,287.95,292.75,293.2,292.3,687,234.01,14955235,"4,37,14,55,315.20",74578
09-Apr-25,EQ,288.7,290.65,279.6,285.9,287.95,287.95,286.72,687,234.01,14519066,"4,16,28,85,821.80",87996
